repository_id,repository_name,repository_type,repository_url,oai_url,software,content_types,content_subjects,organisation_name,organisation_country,metadata_record_count,full_text_record_count
83,Maastricht University Research Publications,institutional,https://cris.maastrichtuniversity.nl/en/publications/,http://cris.maastrichtuniversity.nl/ws/oai,pure,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University Maastricht,nl,89318,12481
84,Carleton Digital Commons,institutional,https://digitalcommons.carleton.edu/,N/A,digital_commons,"journal_articles, unpub_reports_and_working_papers","humanities, science, social_sciences",Carleton College,us,42,0
85,Digital Commons @ Connecticut College,institutional,https://digitalcommons.conncoll.edu/,https://digitalcommons.conncoll.edu/do/oai/,digital_commons,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Connecticut College,us,8531,5639
87,Digital Commons@Trinity,institutional,https://digitalcommons.trinity.edu/,N/A,digital_commons,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Trinity University,us,1160,0
88,DSpace@MIT,institutional,http://dspace.mit.edu/,http://dspace.mit.edu/oai/request,dspace,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Massachusetts Institute of Technology,us,101932,0
89,Digital Library of the Commons,disciplinary,https://dlc.dlib.indiana.edu/dlc/,N/A,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types",social_sciences,Indiana University Bloomington,us,10323,0
91,Pace Digital Repository,institutional,https://digitalcommons.pace.edu/,https://digitalcommons.pace.edu/do/oai/,digital_commons,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Pace University,us,5574,4341
93,DigitalCommons@TMC,institutional,https://digitalcommons.library.tmc.edu/,https://digitalcommons.library.tmc.edu/do/oai/,digital_commons,"journal_articles, theses_and_dissertations",health_and_medicine,Texas Medical Center,us,7268,2658
94,FAU Digital Library Digital Collections,institutional,https://library.fau.edu/digital-library/digital-collection-directory,N/A,digitool,"journal_articles, conference_and_workshop_papers, unpub_reports_and_working_papers, books_chapters_and_sections, datasets, software, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Florida Atlantic University,us,15568,0
96,Digital Commons @ Macalester,institutional,https://digitalcommons.macalester.edu/,https://digitalcommons.macalester.edu/do/oai/,digital_commons,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Macalester College,us,6147,4442
98,OpenCommons@UConn,institutional,https://digitalcommons.lib.uconn.edu/,https://digitalcommons.lib.uconn.edu/do/oai/,digital_commons,"journal_articles, bibliographic_references, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Connecticut,us,15867,0
99,DigitalCommons@University of Nebraska - Lincoln,institutional,https://digitalcommons.unl.edu/,https://digitalcommons.unl.edu/do/oai/,digital_commons,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Nebraska-Lincoln,us,117659,92233
100,DigitalCommons@UTEP,institutional,https://scholarworks.utep.edu/,N/A,other,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Texas at El Paso,us,21412,10
101,Utrecht University Repository,institutional,http://dspace.library.uu.nl,https://dspace.library.uu.nl/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Utrecht,nl,185637,1686
104,Qucosa,institutional,https://www.qucosa.de/startseite/,https://www.qucosa.de/oai/,fedora,"bibliographic_references, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, learning_objects","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Saxon State Library,de,23199,0
