repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
3643,Digitale Landesbibliothek Oberösterreichische,institutional,http://digi.landesbibliothek.at/,Oberösterreichische Landesbibliothek,at,6284,344
3644,Institute for Social Research in Zagreb (ISRZ) Repository,institutional,http://idiprints.knjiznica.idi.hr/,Institute for Social Research in Zagreb,hr,918,536
3645,"Current Research Information System, TEI of Epirus",institutional,http://cris.teiep.gr/,Technological Educational Institute of Epirus,gr,582,0
3646,Archipelago,institutional,http://archipelago.aegean.gr/,University of the Aegean,gr,5992,0
3647,Jagiellonian University Repository,institutional,http://ruj.uj.edu.pl/,Jagiellonian University,pl,225862,17497
3648,Base of Knowledge University of Siedlce,institutional,https://bazawiedzy.uws.edu.pl,University of Siedlce,pl,3218,2330
3649,Linguistic Electronic Archive,institutional,http://lear.unive.it/,Ca Foscari University of Venice,it,6831,0
3650,BG Research Online,institutional,https://bgro.collections.crest.ac.uk/,Bishop Grosseteste University,gb,625,13
3651,ACU Research Bank,institutional,https://acuresearchbank.acu.edu.au,Australian Catholic University,au,27143,3088
3652,LBS Research Online,institutional,http://lbsresearch.london.edu/,London Business School,gb,1444,340
3653,Publication Server of Weimar Bauhaus-University,institutional,https://e-pub.uni-weimar.de/opus4/home,Weimar Bauhaus-University,de,2800,2052
3654,SETI Institute Research Platform,institutional,https://seti.mysciencework.com/,SETI Institute,us,0,0
3656,Archivio istituzionale della ricerca - Università di Urbino,institutional,https://ora.uniurb.it/,Università degli Studi di Urbino,it,37430,163
3657,Archivio istituzionale della ricerca - Università di Padova,institutional,https://www.research.unipd.it/,University of Padua,it,251278,3250
3658,Archivio istituzionale della ricerca - Università di Palermo,institutional,https://iris.unipa.it/,Università degli studi di Palermo,it,120011,12723
3659,Archivio istituzionale della ricerca - Università degli Studi di Udine,institutional,https://air.uniud.it/,Università degli studi di Udine,it,71699,2482
3660,Archivio istituzionale della ricerca - Università dell'Insubria,institutional,https://irinsubria.uninsubria.it/,Università dell Insubria (Varese),it,46133,1116
3661,Archivio istituzionale della ricerca - Università IUAV di Venezia,institutional,https://air.iuav.it/,Università IUAV- Venezia,it,20954,33
3662,Archivio istituzionale della ricerca - Università di Brescia,institutional,https://iris.unibs.it/,Università degli Studi di Brescia,it,61259,2458
3664,Archivio della Ricerca - Università degli Studi di Teramo,institutional,https://research.unite.it/,Università degli Studi di Teramo,it,17404,22
3665,Archivio istituzionale della ricerca - Università di Trieste,institutional,https://arts.units.it/,Università degli studi di Trieste,it,84203,3961
3666,Archivio della Ricerca - Università di Salerno,institutional,https://www.iris.unisa.it/,Università degli studi di Salerno,it,88366,27
3668,Archivio della Ricerca - Università degli Studi Roma Tre,institutional,https://iris.uniroma3.it/,Università degli Studi Roma Tre,it,100076,52
3670,Archivio istituzionale della ricerca - eCampus Università Telematica,institutional,https://iris.uniecampus.it/,eCampus Università Telematica,it,5909,1
3671,Repository of Faculty of Pharmacy and Biochemistry University of Zgreb,institutional,https://repozitorij.pharma.unizg.hr/,University of Zagreb,hr,1683,816
3672,Electronic arhive of Vitebsk State Medical University Library  (Репозиторий библиотеки Витебского государственного медицинского университета),institutional,http://elib.vsmu.by/,"Vitebsk State Medical University, Belarus",by,15313,6490
3673,Repozitorij Grafičkog fakulteta Sveučilišta u Zagrebu,institutional,http://eprints.grf.unizg.hr/,University of Zagreb,hr,2814,278
3674,Archivio istituzionale della ricerca - Università di Modena e Reggio Emilia,institutional,https://iris.unimore.it/,Università di Modena e Reggio Emilia,it,94942,6190
3675,HAL - Université de Franche-Comté,institutional,https://hal-univ-fcomte.archives-ouvertes.fr/,Université de Franche-Comté,fr,36138,3469
3676,HAL Université de Tours,institutional,https://hal-univ-tours.archives-ouvertes.fr/,Université François-Rabelais Tours,fr,33006,2583
3677,Hope's Institutional Research Archive,institutional,https://hira.hope.ac.uk/,Liverpool Hope University,gb,2330,775
3678,Bartin University Institutional Repository,institutional,http://acikerisim.bartin.edu.tr,Bartin University,tr,138,0
3679,Pécsi Egyetemi Archívum,institutional,http://pea.lib.pte.hu/,Pécsi Tudományegyetem (University of Pécs),hu,3222,1781
3680,HZB Repository,institutional,https://www.helmholtz-berlin.de/zentrum/locations/bibliothek/literatur/publikationsserver_de.html,Helmholtz-Zentrum Berlin für Materialien und Energie,de,18980,885
3681,Medical Academic Repository of MU-Varna,institutional,https://repository.mu-varna.bg/,Medical University - Varna,bg,349,0
3682,Electronic library of the Belarusian State Academy of Agriculture,institutional,http://elib.baa.by/,Belarusian State Academy of Agriculture,by,533,0
3683,Camões - Repositório Institucional da Universidade Autónoma de Lisboa,institutional,http://repositorio.ual.pt/,Universidade Autónoma da Lisboa,pt,100,77
3684,Institutional Research Information System,institutional,https://unora.unior.it,University of Naples L'Orientale,it,14210,0
3685,METRology Institutional CAtalog,institutional,https://metrica.inrim.it,Instituto Nazionale di Ricerca Metrologica,it,6191,154
3686,Archivio della ricerca- Università di Roma La Sapienza,institutional,https://iris.uniroma1.it/,Università degli studi La Sapienza di Roma,it,434892,13950
3687,"Archivio della ricerca - Università degli studi di Napoli ""Parthenope""",institutional,https://ricerca.uniparthenope.it/,Università degli Studi Napoli Parthenope,it,19668,46
3688,Archivio istituzionale della ricerca - Università di Bari,institutional,https://ricerca.uniba.it/,Università degli Studi di Bari,it,119640,65
3689,University of Johannesburg Institutional Repository,institutional,https://ujcontent.uj.ac.za/esploro/,University of Johannesburg,za,41010,7144
3690,Investigo,institutional,http://www.investigo.biblioteca.uvigo.es/xmlui,Universidade de Vigo,es,1994,462
3691,Datadoi,institutional,https://datadoi.ee/,Tartu University,ee,165,13
3692,Registro Nacional de Trabajos de Investigación - RENATI,institutional,http://renati.sunedu.gob.pe/,Superintendencia Nacional de Educación Superior Universitaria,pe,545631,435
3693,Rural Access Library,disciplinary,https://www.research4cap.org/index.php/resources/rural-access-library,Research for Community Access Partnership,gb,939,0
3694,Fachrepositorium Lebenswissenschaften,disciplinary,https://repository.publisso.de/,ZB MED Informationszentrum Lebenswissenschaften,de,3892,0
3695,Arquivo Dixital de Galicia,governmental,http://arquivo.galiciana.gal/arpadweb/gl/inicio/inicio.do,Arquivo de Galicia,es,471100,0
3696,Biblioteca Virtual de la Diputación de Zaragoza,governmental,http://www.bivizar.es/,Diputación de Zaragoza,es,1709,45
3697,Forschungsindex und Repositorium der Leuphana Universität Lüneburg,institutional,http://fox.leuphana.de/portal/de/,Universität Lüneburg,de,0,0
3698,IMechE Virtual Archive,institutional,https://archives.imeche.org/,Institution of Mechanical Engineers,gb,0,0
3699,Repository of the School of Dental Medicine University of Zagreb,institutional,https://repozitorij.sfzg.unizg.hr/,University of Zagreb,hr,371,0
3700,FPSZG repository,institutional,https://repozitorij.fpzg.unizg.hr/en,University of Zagreb,hr,1160,312
3701,Repository of Polytechnic in Pozega,institutional,https://repozitorij.vup.hr/,Polytecnic in Požega,hr,1981,35
3702,University North Digital Repository,institutional,https://repozitorij.unin.hr/,University North (Sveučilište Sjever),hr,3483,329
3703,Repository of Polytechnic Nikola Tesla in Gospić,institutional,https://repozitorij.velegs-nikolatesla.hr/,Polytechnic Nikola Tesla in Gospić,hr,497,225
